com.samsung.health.sleep_stage,6196009,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-11-16 01:48:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.822,2021-11-16 09:05:42.822,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 02:06:00.000,d7267112-dcad-439b-9152-6f1e29c24b3e,
2021-11-16 02:43:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.824,2021-11-16 09:05:42.824,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 02:52:00.000,29112fda-4b71-4814-a75d-c1d3667fab59,
2021-11-16 03:35:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.826,2021-11-16 09:05:42.826,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 03:55:00.000,9250f9d2-d969-4d7b-874c-13eb41dce7da,
2021-11-16 04:13:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.827,2021-11-16 09:05:42.827,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:16:00.000,6f192992-572a-4809-9537-1d3c15fb4ab1,
2021-11-16 02:06:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.822,2021-11-16 09:05:42.822,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 02:08:00.000,f6c47765-0b6d-41b1-a152-9e31767818db,
2021-11-16 04:53:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.829,2021-11-16 09:05:42.829,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:54:00.000,0b1accb5-2226-4f20-8a50-9a6ec1ea32c5,
2021-11-16 06:10:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.833,2021-11-16 09:05:42.833,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 06:42:00.000,5ad7000a-f4fa-4ab5-8fe9-2649cabc954e,
2021-11-16 07:57:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.836,2021-11-16 09:05:42.836,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 07:58:00.000,7cae3efe-61c2-4911-8e0c-f1eb0794f1fd,
2021-11-16 02:52:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.824,2021-11-16 09:05:42.824,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 02:55:00.000,76fb3b64-0b3b-46c7-bfd7-1bf4a74a2e68,
2021-11-16 03:55:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.826,2021-11-16 09:05:42.826,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 03:57:00.000,57e57f6a-baa1-40f7-a3b5-0eb1a3d9fc05,
2021-11-16 04:16:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.828,2021-11-16 09:05:42.828,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:40:00.000,733dd8b7-4288-44bb-97e3-1c84dddcef19,
2021-11-16 04:54:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.830,2021-11-16 09:05:42.830,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 04:57:00.000,d73aa28e-68fa-415d-8d36-a6a800f5618f,
2021-11-16 06:42:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.834,2021-11-16 09:05:42.834,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 06:46:00.000,e53b8a30-85b2-4a7e-99d9-116f80285917,
2021-11-16 07:58:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.837,2021-11-16 09:05:42.837,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 08:02:00.000,02fc2eb5-a974-40b1-a49e-363b504af591,
2021-11-16 08:15:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.848,2021-11-16 09:05:42.848,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 08:22:00.000,fdd85baa-b0c0-4ed8-83b2-a2b2835e37a1,
2021-11-16 09:04:00.000,89b16e74-6eb2-4167-94ca-31dfff17e4fb,,2021-11-16 09:05:42.851,2021-11-16 09:05:42.851,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-16 09:05:00.000,55b7b38f-c379-4c2d-b618-691a1f4d5fb3,
2021-11-18 00:28:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.533,2021-11-18 08:46:01.533,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 00:29:00.000,aeeeaeb7-0ac9-4f13-810a-1d395448af79,
2021-11-18 01:29:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.537,2021-11-18 08:46:01.537,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 01:44:00.000,d35fff9b-5e23-4b76-876e-d69690267ef7,
2021-11-18 02:01:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.539,2021-11-18 08:46:01.539,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 02:03:00.000,6c725011-0fbc-495f-92ad-01f58bc4614e,
2021-11-18 03:00:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.542,2021-11-18 08:46:01.542,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 03:06:00.000,b6389e67-edd8-4465-96ac-0dfa593c20aa,
2021-11-18 03:52:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.544,2021-11-18 08:46:01.544,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 03:55:00.000,2a4739ce-f231-4a8c-b080-7c63732c16e0,
2021-11-18 04:02:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.547,2021-11-18 08:46:01.547,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 04:04:00.000,c6a6785d-691e-40ab-9f7d-f8e9a3d4fd82,
2021-11-18 05:04:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.550,2021-11-18 08:46:01.550,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 05:05:00.000,46218f2d-9639-436c-b72f-7da00c502c83,
2021-11-18 05:46:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.553,2021-11-18 08:46:01.553,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 06:04:00.000,f8467b19-c30d-4a2a-8828-38c29b9445c8,
2021-11-18 06:23:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.557,2021-11-18 08:46:01.557,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 06:24:00.000,efb8bf23-202f-4c6d-bd69-42d6149e0838,
2021-11-18 07:24:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.561,2021-11-18 08:46:01.561,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 07:25:00.000,ce3f2767-6a0b-4063-8ce7-9d52981cf855,
2021-11-18 07:57:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.563,2021-11-18 08:46:01.563,40004,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 08:00:00.000,e18d8c5a-cde8-4d70-980d-1260ba70eddc,
2021-11-18 08:21:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.566,2021-11-18 08:46:01.566,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 08:24:00.000,56a15c86-f741-4089-9bf6-d3d68aed8b0a,
2021-11-18 08:43:00.000,b5cf63c6-993a-408c-9102-2f86d7cba8b8,,2021-11-18 08:46:01.568,2021-11-18 08:46:01.568,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-18 08:44:00.000,9dabfbed-d9b7-49ac-b47f-45fce3a042f7,
2021-11-22 02:01:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.631,2021-11-22 09:46:56.631,40001,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 02:04:00.000,d8008ec4-67b9-447c-ad54-142973102b4c,
2021-11-22 02:40:00.000,5330feb7-faf0-42e7-8b62-529662f528ae,,2021-11-22 09:46:56.632,2021-11-22 09:46:56.632,40002,UTC+0100,r+Q1gs7PBy,com.sec.android.app.shealth,2021-11-22 02:42:00.000,910b420b-2fda-4bf0-9808-93b3e4781a8e,
